iter	Passed	Remaining
747	20158	6791
748	20183	6763
749	20207	6735
750	20234	6708
751	20259	6681
752	20275	6650
753	20296	6621
754	20322	6594
755	20346	6566
756	20367	6538
757	20391	6510
758	20422	6484
759	20444	6456
760	20472	6429
761	20497	6402
762	20523	6374
763	20553	6348
764	20577	6321
765	20601	6293
766	20633	6267
767	20655	6239
768	20680	6212
769	20710	6186
770	20739	6160
771	20754	6129
772	20776	6101
773	20800	6073
774	20824	6045
775	20847	6017
776	20873	5990
777	20900	5963
778	20923	5935
779	20945	5907
780	20975	5881
781	20999	5854
782	21020	5825
783	21049	5799
784	21071	5771
785	21097	5744
786	21128	5718
787	21157	5692
788	21185	5665
789	21210	5638
790	21238	5611
791	21259	5583
792	21291	5557
793	21317	5530
794	21343	5503
795	21371	5477
796	21409	5453
797	21444	5428
798	21514	5412
799	21544	5386
800	21576	5360
801	21615	5336
802	21644	5310
803	21667	5282
804	21694	5255
805	21714	5226
806	21774	5207
807	21800	5180
808	21825	5152
809	21849	5125
810	21890	5101
811	21939	5079
812	21978	5055
813	21997	5026
814	22022	4998
815	22048	4971
816	22080	4945
817	22101	4917
818	22134	4891
819	22159	4864
820	22187	4837
821	22248	4817
822	22282	4792
823	22299	4762
824	22322	4734
825	22354	4708
826	22389	4683
827	22410	4655
828	22442	4629
829	22466	4601
830	22492	4574
831	22522	4547
832	22549	4520
833	22567	4491
834	22582	4462
835	22594	4432
836	22613	4403
837	22634	4375
838	22664	4349
839	22690	4321
840	22723	4296
841	22740	4267
842	22759	4238
843	22786	4211
844	22809	4184
845	22845	4158
846	22883	4133
847	22913	4107
848	22945	4081
849	22973	4054
850	22993	4025
851	23018	3998
852	23044	3971
853	23067	3943
854	23098	3917
855	23133	3891
856	23160	3864
857	23187	3837
858	23219	3811
859	23248	3784
860	23268	3756
861	23283	3727
862	23307	3700
863	23331	3672
864	23354	3644
865	23379	3617
866	23404	3590
867	23432	3563
868	23456	3536
869	23485	3509
870	23512	3482
871	23533	3454
872	23560	3427
873	23589	3400
874	23616	3373
875	23651	3347
876	23670	3319
877	23692	3292
878	23715	3264
879	23740	3237
880	23768	3210
881	23796	3183
882	23825	3156
883	23854	3130
884	23879	3102
885	23902	3075
886	23930	3048
887	23947	3020
888	23964	2992
889	23987	2964
890	24010	2937
891	24038	2910
892	24066	2883
893	24092	2856
894	24117	2829
895	24138	2801
896	24160	2774
897	24186	2747
898	24203	2719
899	24222	2691
900	24247	2664
901	24278	2637
902	24304	2610
903	24328	2583
904	24357	2556
905	24380	2529
906	24400	2501
907	24427	2475
908	24449	2447
909	24476	2420
910	24508	2394
911	24544	2368
912	24571	2341
913	24599	2314
914	24634	2288
915	24655	2261
916	24679	2233
917	24704	2206
918	24742	2180
919	24768	2153
920	24847	2131
921	24885	2105
922	24917	2078
923	24952	2052
924	24979	2025
925	25007	1998
926	25032	1971
927	25052	1943
928	25086	1917
929	25133	1891
930	25170	1865
931	25214	1839
932	25254	1813
933	25285	1786
934	25320	1760
935	25355	1733
936	25394	1707
937	25435	1681
938	25470	1654
939	25512	1628
940	25541	1601
941	25567	1574
942	25601	1547
943	25642	1521
944	25694	1495
945	25771	1471
946	25859	1447
947	25898	1420
948	25945	1394
949	25995	1368
950	26021	1340
951	26045	1313
952	26073	1285
953	26107	1258
954	26151	1232
955	26189	1205
956	26228	1178
957	26261	1151
958	26292	1124
959	26329	1097
960	26363	1069
961	26391	1042
962	26426	1015
963	26462	988
964	26503	961
965	26542	934
966	26573	906
967	26605	879
968	26623	851
969	26647	824
970	26668	796
971	26692	768
972	26727	741
973	26759	714
974	26787	686
975	26813	659
976	26850	632
977	26890	604
978	26923	577
979	26967	550
980	27007	523
981	27042	495
982	27074	468
983	27109	440
984	27145	413
985	27172	385
986	27193	358
987	27225	330
988	27266	303
989	27293	275
990	27315	248
991	27361	220
992	27407	193
993	27451	165
994	27493	138
995	27530	110
996	27566	82
997	27605	55
998	27648	27
999	27677	0
